,operator,inout_travelling,network_type,rating,calldrop_category,latitude,longitude,state_name
88,RJio,Indoor,4G,5,Satisfactory,20.71857572,77.00999552,Maharashtra
89,VI,Indoor,4G,1,Call Dropped,,,Not Available
90,VI,Indoor,Unknown,4,Satisfactory,21.12309966,79.06788507,Maharashtra
91,VI,Indoor,Unknown,4,Satisfactory,21.12309966,79.06788507,Maharashtra
92,VI,Indoor,Unknown,4,Satisfactory,21.12309966,79.06788507,Maharashtra
93,VI,Outdoor,4G,1,Poor Voice Quality,,,Not Available
94,VI,Indoor,Unknown,4,Satisfactory,21.12309966,79.06788507,Maharashtra
95,VI,Indoor,2G,5,Satisfactory,,,Not Available
96,VI,Indoor,2G,5,Satisfactory,,,Not Available
97,VI,Indoor,2G,5,Satisfactory,,,Not Available
98,VI,Indoor,2G,5,Satisfactory,,,Not Available
99,VI,Indoor,2G,5,Satisfactory,,,Not Available
100,VI,Indoor,2G,5,Satisfactory,,,Not Available
101,VI,Indoor,2G,5,Satisfactory,,,Not Available
102,VI,Indoor,2G,5,Satisfactory,,,Not Available
103,VI,Indoor,2G,5,Satisfactory,,,Not Available
104,VI,Indoor,2G,5,Satisfactory,,,Not Available
105,VI,Indoor,2G,5,Satisfactory,,,Not Available
106,VI,Indoor,2G,5,Satisfactory,,,Not Available
107,VI,Indoor,2G,5,Satisfactory,,,Not Available
108,VI,Indoor,2G,5,Satisfactory,,,Not Available
109,VI,Indoor,2G,5,Satisfactory,,,Not Available
110,VI,Indoor,2G,5,Satisfactory,,,Not Available
111,VI,Indoor,2G,5,Satisfactory,,,Not Available
112,VI,Indoor,2G,5,Satisfactory,,,Not Available
113,VI,Indoor,2G,5,Satisfactory,,,Not Available
114,VI,Indoor,2G,5,Satisfactory,,,Not Available
115,VI,Indoor,2G,5,Satisfactory,,,Not Available
116,VI,Indoor,2G,5,Satisfactory,,,Not Available
117,VI,Indoor,2G,5,Satisfactory,,,Not Available
118,VI,Indoor,2G,5,Satisfactory,,,Not Available
119,VI,Indoor,2G,5,Satisfactory,,,Not Available
120,VI,Indoor,2G,5,Satisfactory,,,Not Available
121,VI,Indoor,2G,5,Satisfactory,,,Not Available
122,VI,Indoor,2G,5,Satisfactory,,,Not Available
123,VI,Indoor,2G,5,Satisfactory,,,Not Available
124,VI,Indoor,2G,5,Satisfactory,,,Not Available
125,VI,Indoor,2G,5,Satisfactory,,,Not Available
126,VI,Indoor,2G,5,Satisfactory,,,Not Available
127,VI,Indoor,2G,5,Satisfactory,,,Not Available
128,VI,Indoor,2G,5,Satisfactory,,,Not Available
129,VI,Indoor,2G,5,Satisfactory,,,Not Available
130,VI,Indoor,2G,5,Satisfactory,,,Not Available
131,VI,Indoor,4G,5,Satisfactory,,,Not Available
132,VI,Indoor,4G,5,Satisfactory,,,Not Available
133,VI,Indoor,4G,5,Satisfactory,,,Not Available
134,VI,Indoor,4G,5,Satisfactory,,,Not Available
135,VI,Indoor,4G,5,Satisfactory,,,Not Available
136,VI,Indoor,4G,5,Satisfactory,,,Not Available
137,VI,Outdoor,4G,5,Satisfactory,,,Not Available
138,VI,Outdoor,4G,5,Satisfactory,,,Not Available
139,VI,Indoor,4G,5,Satisfactory,,,Not Available
140,VI,Outdoor,4G,5,Satisfactory,,,Not Available
141,VI,Indoor,4G,5,Satisfactory,,,Not Available
142,VI,Indoor,4G,5,Satisfactory,,,Not Available
143,BSNL,Indoor,2G,2,Poor Voice Quality,29.3937171,79.4399473,Uttarakhand
144,VI,Indoor,2G,1,Poor Voice Quality,,,Not Available
145,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
146,VI,Outdoor,4G,1,Poor Voice Quality,,,Not Available
147,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
148,VI,Outdoor,4G,1,Poor Voice Quality,,,Not Available
149,VI,Indoor,4G,5,Satisfactory,,,Not Available
150,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
151,Airtel,Outdoor,4G,1,Call Dropped,18.8073949,73.332025,Maharashtra
152,RJio,Outdoor,Unknown,1,Call Dropped,,,Not Available
153,RJio,Indoor,4G,4,Satisfactory,,,Not Available
154,RJio,Indoor,4G,1,Call Dropped,,,Not Available
155,RJio,Outdoor,4G,5,Satisfactory,,,Not Available
156,VI,Indoor,4G,5,Satisfactory,23.34959195,85.31862243,Jharkhand
157,RJio,Outdoor,4G,3,Satisfactory,21.98110667,73.53923,Gujarat
158,Airtel,Indoor,4G,5,Satisfactory,,,Not Available
159,VI,Outdoor,4G,1,Poor Voice Quality,,,Not Available
160,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
161,VI,Outdoor,4G,1,Poor Voice Quality,,,Not Available
162,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
163,BSNL,Indoor,Unknown,3,Satisfactory,10.8231658,75.93883294,Kerala
164,Airtel,Indoor,Unknown,1,Poor Voice Quality,,,Not Available
165,Airtel,Indoor,Unknown,1,Poor Voice Quality,,,Not Available
166,Airtel,Indoor,Unknown,1,Poor Voice Quality,,,Not Available
167,BSNL,Travelling,Unknown,1,Poor Voice Quality,,,Not Available
168,VI,Indoor,4G,5,Satisfactory,23.34959195,85.31862243,Jharkhand
169,VI,Indoor,4G,5,Satisfactory,23.34959195,85.31862243,Jharkhand
170,VI,Indoor,4G,5,Satisfactory,23.34975457,85.31848706,Jharkhand
171,VI,Indoor,4G,5,Satisfactory,23.34975457,85.31848706,Jharkhand
172,VI,Indoor,4G,5,Satisfactory,23.3501427,85.320204,Jharkhand
173,VI,Indoor,4G,5,Satisfactory,23.3501427,85.320204,Jharkhand
174,VI,Indoor,4G,5,Satisfactory,23.34975457,85.31848706,Jharkhand
175,VI,Indoor,4G,5,Satisfactory,23.34975457,85.31848706,Jharkhand
176,Airtel,Outdoor,4G,1,Call Dropped,18.79066167,73.356815,Maharashtra
177,RJio,Indoor,4G,4,Satisfactory,18.5198433,73.856135,Maharashtra
178,RJio,Outdoor,4G,4,Satisfactory,18.5197415,73.8561781,Maharashtra
179,RJio,Outdoor,4G,4,Satisfactory,,,Not Available
180,VI,Travelling,Unknown,4,Satisfactory,,,Not Available
181,RJio,Outdoor,4G,5,Satisfactory,,,Not Available
182,Airtel,Indoor,4G,4,Satisfactory,,,Not Available
183,Airtel,Indoor,Unknown,3,Poor Voice Quality,18.44273315,73.84763632,Maharashtra
184,Airtel,Indoor,Unknown,1,Poor Voice Quality,18.44273315,73.84763632,Maharashtra
185,Airtel,Indoor,4G,2,Poor Voice Quality,18.44273315,73.84763632,Maharashtra
186,VI,Indoor,Unknown,4,Satisfactory,21.11599994,79.06906076,Maharashtra
187,Airtel,Indoor,4G,4,Satisfactory,13.93002668,75.59076511,Karnataka
188,Airtel,Indoor,Unknown,1,Poor Voice Quality,,,Not Available
189,Airtel,Indoor,Unknown,2,Poor Voice Quality,,,Not Available
190,RJio,Outdoor,Unknown,3,Poor Voice Quality,18.5197455,73.8562562,Maharashtra
191,RJio,Indoor,4G,4,Satisfactory,18.5197455,73.8561755,Maharashtra
192,VI,Indoor,4G,1,Call Dropped,,,Not Available
193,RJio,Indoor,4G,1,Poor Voice Quality,,,Not Available
194,BSNL,Outdoor,Unknown,1,Call Dropped,10.8231658,75.93883294,Kerala
195,BSNL,Outdoor,Unknown,1,Call Dropped,10.8231658,75.93883294,Kerala
196,RJio,Indoor,4G,5,Satisfactory,,,Not Available
197,RJio,Outdoor,Unknown,4,Satisfactory,18.4973422,73.8591731,Maharashtra
198,RJio,Indoor,4G,1,Poor Voice Quality,,,Not Available
199,RJio,Indoor,4G,1,Poor Voice Quality,,,Not Available
200,RJio,Indoor,4G,1,Poor Voice Quality,,,Not Available
201,RJio,Outdoor,4G,1,Poor Voice Quality,,,Not Available
202,RJio,Outdoor,4G,1,Poor Voice Quality,,,Not Available
203,RJio,Outdoor,4G,1,Poor Voice Quality,,,Not Available
204,RJio,Outdoor,4G,1,Poor Voice Quality,,,Not Available
205,RJio,Indoor,4G,1,Call Dropped,,,Not Available
206,RJio,Indoor,4G,1,Call Dropped,,,Not Available
207,RJio,Indoor,4G,1,Call Dropped,,,Not Available
208,VI,Travelling,Unknown,2,Poor Voice Quality,,,Not Available
209,RJio,Indoor,4G,5,Satisfactory,12.33059714,76.64564735,Karnataka
210,RJio,Indoor,4G,5,Satisfactory,,,Not Available
211,RJio,Travelling,4G,5,Satisfactory,,,Not Available
212,VI,Indoor,Unknown,4,Satisfactory,21.12302755,79.06792825,Maharashtra
213,RJio,Indoor,4G,5,Satisfactory,,,Not Available
214,RJio,Indoor,4G,5,Satisfactory,,,Not Available
215,RJio,Indoor,4G,5,Satisfactory,,,Not Available
216,RJio,Outdoor,4G,3,Satisfactory,21.9447515,73.5942618,Gujarat
217,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
218,RJio,Indoor,4G,5,Satisfactory,,,Not Available
219,RJio,Indoor,4G,2,Poor Voice Quality,,,Not Available
220,RJio,Indoor,4G,1,Call Dropped,28.5952184,77.0243876,Delhi
221,RJio,Indoor,4G,1,Call Dropped,,,Not Available
222,RJio,Outdoor,4G,1,Poor Voice Quality,,,Not Available
223,VI,Indoor,4G,5,Satisfactory,23.34983949,85.31863713,Jharkhand
224,RJio,Indoor,4G,1,Call Dropped,,,Not Available
225,VI,Indoor,4G,2,Poor Voice Quality,,,Not Available
226,RJio,Indoor,4G,1,Call Dropped,,,Not Available
227,VI,Indoor,Unknown,3,Satisfactory,18.95506585,72.80139493,Maharashtra
228,VI,Outdoor,Unknown,3,Satisfactory,18.95399079,72.80216574,Maharashtra
229,VI,Travelling,4G,2,Poor Voice Quality,,,Not Available
230,VI,Outdoor,4G,1,Call Dropped,28.62784278,77.05939371,Delhi
231,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
232,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
233,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
234,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
235,Airtel,Indoor,4G,2,Poor Voice Quality,18.44208851,73.84835771,Maharashtra
236,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
237,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
238,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
239,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
240,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
241,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
242,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
243,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
244,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
245,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
246,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
247,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
248,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
249,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
250,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
251,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
252,Airtel,Indoor,Unknown,4,Satisfactory,13.9366274,75.54814289,Karnataka
253,BSNL,Indoor,3G,3,Satisfactory,,,Not Available
254,BSNL,Indoor,3G,3,Satisfactory,,,Not Available
255,VI,Indoor,4G,4,Satisfactory,21.13370266,79.06853892,Maharashtra
256,BSNL,Indoor,3G,1,Poor Voice Quality,,,Not Available
257,BSNL,Indoor,3G,3,Satisfactory,,,Not Available
258,VI,Indoor,4G,5,Satisfactory,21.12318469,79.0679315,Maharashtra
259,VI,Indoor,4G,5,Satisfactory,21.12318469,79.0679315,Maharashtra
260,VI,Indoor,4G,4,Satisfactory,21.12318469,79.0679315,Maharashtra
261,Airtel,Indoor,Unknown,4,Satisfactory,13.93698458,75.54796111,Karnataka
262,BSNL,Indoor,3G,3,Satisfactory,,,Not Available
263,Airtel,Indoor,4G,4,Satisfactory,13.93698458,75.54796111,Karnataka
264,BSNL,Indoor,3G,3,Satisfactory,,,Not Available
265,RJio,Indoor,4G,5,Satisfactory,18.4881918,73.78783,Maharashtra
266,VI,Indoor,4G,5,Satisfactory,21.12318469,79.0679315,Maharashtra
267,VI,Indoor,4G,4,Satisfactory,21.12318469,79.0679315,Maharashtra
268,VI,Indoor,4G,4,Satisfactory,21.12318469,79.0679315,Maharashtra
269,VI,Indoor,4G,4,Satisfactory,21.12318469,79.0679315,Maharashtra
270,VI,Indoor,4G,4,Satisfactory,21.12318469,79.0679315,Maharashtra
271,RJio,Indoor,4G,4,Satisfactory,,,Not Available
272,VI,Indoor,4G,4,Satisfactory,21.12318469,79.0679315,Maharashtra
273,RJio,Outdoor,4G,1,Poor Voice Quality,,,Not Available
274,VI,Indoor,4G,4,Satisfactory,21.12318469,79.0679315,Maharashtra
275,VI,Indoor,4G,5,Satisfactory,26.2384403,78.16560355,Madhya Pradesh
276,VI,Indoor,4G,5,Satisfactory,26.2384403,78.16560355,Madhya Pradesh
277,VI,Indoor,4G,5,Satisfactory,26.2384403,78.16560355,Madhya Pradesh
278,VI,Indoor,4G,5,Satisfactory,26.2384403,78.16560355,Madhya Pradesh
279,VI,Indoor,4G,5,Satisfactory,26.23834521,78.16560291,Madhya Pradesh
280,Airtel,Indoor,4G,5,Satisfactory,26.23834521,78.16560291,Madhya Pradesh
281,Airtel,Indoor,4G,5,Satisfactory,26.23834521,78.16560291,Madhya Pradesh
282,Airtel,Indoor,4G,5,Satisfactory,26.23834521,78.16560291,Madhya Pradesh
283,Airtel,Indoor,4G,5,Satisfactory,26.23834521,78.16560291,Madhya Pradesh
284,VI,Indoor,4G,5,Satisfactory,26.23661405,78.16719283,Madhya Pradesh
285,VI,Indoor,4G,5,Satisfactory,26.23840853,78.16561478,Madhya Pradesh
286,VI,Indoor,4G,5,Satisfactory,26.23840853,78.16561478,Madhya Pradesh
287,Airtel,Indoor,4G,5,Satisfactory,26.23840853,78.16561478,Madhya Pradesh
288,Airtel,Indoor,4G,5,Satisfactory,26.23840853,78.16561478,Madhya Pradesh
289,VI,Indoor,4G,5,Satisfactory,26.23840853,78.16561478,Madhya Pradesh
290,VI,Travelling,4G,1,Poor Voice Quality,,,Not Available
291,VI,Outdoor,4G,4,Satisfactory,21.12318469,79.0679315,Maharashtra
292,RJio,Indoor,Unknown,4,Satisfactory,,,Not Available
293,RJio,Indoor,Unknown,4,Satisfactory,,,Not Available
294,Airtel,Indoor,Unknown,4,Satisfactory,13.9368063,75.548054,Karnataka
295,VI,Indoor,4G,5,Satisfactory,23.18249621,77.43790668,Madhya Pradesh
296,VI,Indoor,4G,5,Satisfactory,23.18249621,77.43790668,Madhya Pradesh
297,VI,Indoor,4G,5,Satisfactory,23.18249621,77.43790668,Madhya Pradesh
298,VI,Indoor,4G,5,Satisfactory,23.18249621,77.43790668,Madhya Pradesh
299,VI,Indoor,4G,5,Satisfactory,23.18249621,77.43790668,Madhya Pradesh
300,VI,Indoor,4G,5,Satisfactory,23.18249621,77.43790668,Madhya Pradesh
301,VI,Indoor,4G,5,Satisfactory,23.16383252,77.44571468,Madhya Pradesh
302,VI,Indoor,4G,5,Satisfactory,23.16383252,77.44571468,Madhya Pradesh
303,VI,Indoor,4G,5,Satisfactory,23.16383252,77.44571468,Madhya Pradesh
304,VI,Indoor,4G,5,Satisfactory,23.16383252,77.44571468,Madhya Pradesh
305,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
306,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
307,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
308,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
309,VI,Indoor,4G,5,Satisfactory,23.16373605,77.44599505,Madhya Pradesh
310,RJio,Indoor,4G,1,Call Dropped,,,Not Available
311,BSNL,Indoor,2G,1,Poor Voice Quality,29.3930312,79.4411604,Uttarakhand
312,RJio,Outdoor,Unknown,4,Satisfactory,18.4973422,73.8591731,Maharashtra
313,RJio,Outdoor,Unknown,4,Satisfactory,18.5198405,73.8561796,Maharashtra
314,VI,Outdoor,4G,4,Satisfactory,18.5197356,73.8561845,Maharashtra
315,VI,Outdoor,Unknown,4,Satisfactory,18.5070029,73.8617652,Maharashtra
316,RJio,Indoor,4G,1,Call Dropped,,,Not Available
317,VI,Indoor,4G,1,Poor Voice Quality,28.62776723,77.05926078,Delhi
318,VI,Indoor,Unknown,1,Poor Voice Quality,,,Not Available
319,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
320,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
321,RJio,Indoor,4G,5,Satisfactory,,,Not Available
322,VI,Outdoor,3G,1,Poor Voice Quality,,,Not Available
323,VI,Indoor,4G,4,Satisfactory,21.12318469,79.0679315,Maharashtra
324,RJio,Travelling,4G,4,Satisfactory,,,Not Available
325,VI,Indoor,4G,1,Call Dropped,,,Not Available
326,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
327,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
328,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
329,RJio,Outdoor,4G,5,Satisfactory,,,Not Available
330,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
331,Airtel,Indoor,Unknown,4,Satisfactory,13.93659042,75.54828321,Karnataka
332,RJio,Outdoor,4G,1,Poor Voice Quality,,,Not Available
333,RJio,Outdoor,4G,1,Poor Voice Quality,,,Not Available
334,RJio,Indoor,4G,1,Call Dropped,,,Not Available
335,BSNL,Indoor,3G,3,Call Dropped,,,Not Available
336,BSNL,Outdoor,3G,1,Call Dropped,,,Not Available
337,BSNL,Outdoor,3G,1,Call Dropped,,,Not Available
338,BSNL,Outdoor,3G,1,Call Dropped,,,Not Available
339,BSNL,Outdoor,3G,1,Call Dropped,,,Not Available
340,BSNL,Outdoor,3G,1,Poor Voice Quality,,,Not Available
341,BSNL,Outdoor,2G,1,Poor Voice Quality,,,Not Available
342,BSNL,Outdoor,3G,1,Poor Voice Quality,,,Not Available
343,BSNL,Outdoor,3G,1,Call Dropped,,,Not Available
344,BSNL,Outdoor,3G,1,Poor Voice Quality,,,Not Available
345,BSNL,Outdoor,3G,1,Poor Voice Quality,,,Not Available
346,BSNL,Outdoor,2G,1,Call Dropped,,,Not Available
347,Airtel,Indoor,Unknown,1,Poor Voice Quality,21.13733491,72.77761314,Gujarat
348,BSNL,Outdoor,3G,1,Call Dropped,,,Not Available
349,BSNL,Outdoor,3G,1,Call Dropped,,,Not Available
350,BSNL,Outdoor,2G,1,Call Dropped,,,Not Available
351,BSNL,Outdoor,3G,1,Call Dropped,,,Not Available
352,VI,Indoor,4G,4,Satisfactory,21.13474338,79.06878229,Maharashtra
353,VI,Indoor,4G,4,Satisfactory,21.13474338,79.06878229,Maharashtra
354,Airtel,Indoor,4G,4,Satisfactory,13.93664599,75.54821753,Karnataka
355,RJio,Indoor,4G,1,Poor Voice Quality,,,Not Available
356,RJio,Indoor,4G,1,Poor Voice Quality,,,Not Available
357,RJio,Indoor,4G,4,Satisfactory,,,Not Available
358,BSNL,Outdoor,3G,1,Poor Voice Quality,12.92527,77.61859833,Karnataka
359,Airtel,Indoor,Unknown,4,Satisfactory,,,Not Available
360,Airtel,Indoor,4G,3,Poor Voice Quality,,,Not Available
361,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
362,BSNL,Indoor,3G,3,Satisfactory,,,Not Available
363,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
364,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
365,VI,Indoor,4G,4,Satisfactory,21.12307011,79.06782401,Maharashtra
366,VI,Indoor,4G,5,Satisfactory,28.449109,77.5697917,Uttar Pradesh
367,VI,Indoor,4G,5,Satisfactory,21.12307011,79.06782401,Maharashtra
368,VI,Indoor,4G,1,Call Dropped,,,Not Available
369,VI,Indoor,4G,1,Call Dropped,,,Not Available
370,BSNL,Outdoor,3G,4,Satisfactory,,,Not Available
371,RJio,Indoor,4G,1,Call Dropped,,,Not Available
372,RJio,Outdoor,Unknown,2,Poor Voice Quality,,,Not Available
373,RJio,Outdoor,4G,3,Satisfactory,,,Not Available
374,Airtel,Indoor,4G,5,Satisfactory,13.9366731,75.5481824,Karnataka
375,Airtel,Indoor,4G,4,Satisfactory,13.9366714,75.5481345,Karnataka
376,VI,Outdoor,4G,4,Satisfactory,18.5197913,73.856193,Maharashtra
377,VI,Indoor,4G,4,Satisfactory,18.5197841,73.8561956,Maharashtra
378,VI,Indoor,4G,4,Satisfactory,18.5197838,73.8561849,Maharashtra
379,VI,Indoor,4G,4,Satisfactory,18.5197492,73.8561743,Maharashtra
380,VI,Indoor,2G,5,Satisfactory,18.4789731,74.0266937,Maharashtra
381,VI,Indoor,4G,1,Poor Voice Quality,,,Not Available
382,RJio,Outdoor,4G,4,Satisfactory,28.6578176,77.2322741,Delhi
383,RJio,Outdoor,4G,1,Poor Voice Quality,28.6572421,77.2319266,Delhi
384,RJio,Indoor,4G,1,Poor Voice Quality,28.6659713,77.2610256,Delhi
385,Airtel,Indoor,4G,4,Satisfactory,10.30300351,76.22315361,Kerala
